Gene_id	Gene_name	Gene_description	HM_3	HM_2	HM_1	Bb_3	Bb_2	Bb_1	HM	Bb
gene-BBA_00029	BBA_00029	pumilio-family RNA binding repeat domain-containing protein	13.82	11.85	18.19	11.78	12.97	10.82	14.62	11.856667
gene-BBA_00030	BBA_00030	"AMP-binding enzyme, putative"	27.76	26.4	27.63	29.76	40.15	32.62	27.263333	34.176667
gene-BBA_00031	BBA_00031	hypothetical protein	0	0	0	0	0	0	0	0
gene-BBA_00032	BBA_00032	hypothetical protein	78.14	75.4	38.25	21.17	25.6	16.38	63.93	21.05
gene-BBA_00033	BBA_00033	hypothetical protein	3.27	2.68	4.83	1.87	1.66	2.97	3.593333	2.166667
gene-BBA_00034	BBA_00034	group II pyridoxal-5-phosphate decarboxylase	28.83	22.99	28.16	27.26	30.1	26.73	26.66	28.03
gene-BBA_00035	BBA_00035	hypothetical protein	2.8	0	2.41	0	2.06	1.29	1.736667	1.116667
gene-BBA_00036	BBA_00036	Ras family protein	5.83	4.76	4.44	10.8	9.5	13.22	5.01	11.173333
gene-BBA_00037	BBA_00037	gp24-like protein	360.58	466.8	487.7	7188.7	4805.47	6374.55	438.36	6122.906667
gene-BBA_00038	BBA_00038	AMME syndrome protein	70.26	57.98	67.28	80.1	63.12	103.64	65.173333	82.286667
gene-BBA_00039	BBA_00039	hypothetical protein	6.42	10.84	6.14	0	0	0	7.8	0
gene-BBA_00040	BBA_00040	hypothetical protein	17.33	13.79	15.79	5.26	3.26	6.74	15.636667	5.086667
gene-BBA_00041	BBA_00041	WD domain-containing protein	24.09	21.99	27.33	33.17	27.07	38.05	24.47	32.763333
gene-BBA_00042	BBA_00042	homoserine acetyltransferase family protein	91.16	85.48	85.1	205.77	236.38	246.5	87.246667	229.55
gene-BBA_00043	BBA_00043	hypothetical protein	14.64	14.1	17.43	14.03	11.45	12.92	15.39	12.8
gene-BBA_00044	BBA_00044	hypothetical protein	23.26	20.02	21.26	21.49	21.21	24.4	21.513333	22.366667
gene-BBA_00045	BBA_00045	hypothetical protein	0.8	0.61	1.4	1.85	2.04	1.5	0.936667	1.796667
gene-BBA_00046	BBA_00046	"glucan endo-1,3-beta-glucosidase A1-like protein"	4.09	4.53	4.02	2.9	2.67	5.68	4.213333	3.75
gene-BBA_00047	BBA_00047	Cel5b-like protein	236.58	233.61	209.89	10.39	11.8	11.11	226.693333	11.1
gene-BBA_00048	BBA_00048	hypothetical protein	13.84	19.09	18.73	8.81	8.22	9.34	17.22	8.79
gene-BBA_00049	BBA_00049	transporter-like protein	0.79	0.39	0.44	0.17	0.16	0.14	0.54	0.156667
gene-BBA_00050	BBA_00050	Cys2-His2 zinc finger transcription factor ACEI	137.82	119.17	122.63	63.14	58.78	67.84	126.54	63.253333
gene-BBA_00051	BBA_00051	hypothetical protein	4.18	4.49	3.22	2.8	3.06	4.16	3.963333	3.34
gene-BBA_00052	BBA_00052	polysaccharide export protein (CAP59)	25.89	25.24	25.88	25.55	20.65	24.45	25.67	23.55
gene-BBA_00053	BBA_00053	glycosyltransferase family 39	44.05	38.91	45.92	53.24	47.75	58.03	42.96	53.006667
gene-BBA_00054	BBA_00054	endoribonuclease L-PSP	612.58	475.82	667.14	495.12	550.99	527.79	585.18	524.633333
gene-BBA_00055	BBA_00055	ARP2/3 actin-organizing complex subunit Sop2	231.73	226.6	229	217.51	181.84	227.68	229.11	209.01
gene-BBA_00056	BBA_00056	hypothetical protein	0	0	0	0	0	0	0	0
gene-BBA_00057	BBA_00057	hypothetical protein	0.11	0	0.27	0.26	0.08	0.19	0.126667	0.176667
gene-BBA_00058	BBA_00058	diphthamide biosynthesis protein 2	14.73	13.36	15.92	11.31	8.16	14.59	14.67	11.353333
gene-BBA_00059	BBA_00059	FAD binding domain containing protein	9.53	7.69	10.05	11.54	9.29	12.13	9.09	10.986667
gene-BBA_00060	BBA_00060	MutS domain V	14.18	12.35	15.45	16.64	15.05	18.88	13.993333	16.856667
gene-BBA_00061	BBA_00061	"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain, putative"	47.28	49.36	40.93	28	80.98	16.73	45.856667	41.903333
gene-BBA_00062	BBA_00062	cellobiose dehydrogenase	0.16	0.33	0.3	0.04	0.08	0	0.263333	0.04
gene-BBA_00063	BBA_00063	"AMP-binding enzyme, putative"	11.43	9.19	10.35	8.2	6.45	13.82	10.323333	9.49
gene-BBA_00064	BBA_00064	hypothetical protein	0.14	0	0.11	0.33	0	0.24	0.083333	0.19
gene-BBA_00065	BBA_00065	major facilitator superfamily transporter	0	0	0	0	0	0	0	0
gene-BBA_00066	BBA_00066	Phosphotransferase enzyme family domain protein	0.08	0	0	0	0	0	0.026667	0
gene-BBA_00067	BBA_00067	2-nitropropane dioxygenase	1.1	1.22	2.73	0.38	1.13	1.46	1.683333	0.99
gene-BBA_00068	BBA_00068	vitamin H transporter	0.42	0.23	0.28	0.46	0.46	1.11	0.31	0.676667
gene-BBA_00069	BBA_00069	metalloprotease MEP1	0	0	0	0	0	0	0	0
gene-BBA_00070	BBA_00070	hypothetical protein	0	0	0	0	0	0	0	0
gene-BBA_00071	BBA_00071	nitrate assimilation regulatory protein nirA	14.91	11.04	14.05	11.78	7.69	14.83	13.333333	11.433333
gene-BBA_00072	BBA_00072	C6 transcription factor	1.07	1.18	1.22	0.74	0.95	1.14	1.156667	0.943333
gene-BBA_00073	BBA_00073	methylitaconate delta2-delta3-isomerase	0.79	0.06	0.69	0.54	0.11	0.47	0.513333	0.373333
gene-BBA_00074	BBA_00074	von Willebrand domain-containing protein	0.18	0	0.14	0.04	0	0.1	0.106667	0.046667
gene-BBA_00075	BBA_00075	hypothetical protein	0.6	0.31	0.32	0.15	0.28	0.17	0.41	0.2
gene-BBA_00076	BBA_00076	thiamin biosynthesis protein (Thi-4)	0.44	0.24	0.25	0.14	0.31	0.58	0.31	0.343333
gene-BBA_00077	BBA_00077	tat pathway signal sequence	0	0	0	0	0	0	0	0
gene-BBA_00078	BBA_00078	hypothetical protein	0	0	0	0	0	0	0	0
gene-BBA_00079	BBA_00079	LysR family regulatory protein	0	0.22	0.05	0	0.12	0.1	0.09	0.073333
gene-BBA_00080	BBA_00080	hypothetical protein	48.09	49.39	44.66	44.62	47.18	44.6	47.38	45.466667
gene-BBA_00081	BBA_00081	hypothetical protein	0	0.06	0	0.06	0	0	0.02	0.02
gene-BBA_00082	BBA_00082	hypothetical protein	0	0	0	0	0	0	0	0
gene-BBA_00083	BBA_00083	hypothetical protein	0	0	0	0	0	0	0	0
gene-BBA_00084	BBA_00084	"Peptidase M64, IgA"	0	0	0	0	0	0.08	0	0.026667
gene-BBA_00085	BBA_00085	Orf2-like protein	0.16	0	0	1.11	1.02	0.27	0.053333	0.8
gene-BBA_00086	BBA_00086	hypothetical protein	0	0	0	0	0	0	0	0
gene-BBA_00087	BBA_00087	hypothetical protein	0	0.09	0	0	0	0.1	0.03	0.033333
gene-BBA_00088	BBA_00088	C6 finger domain protein	0	0	0	0	0	0	0	0
gene-BBA_00089	BBA_00089	hypothetical protein	0	0	0	0	0	0	0	0
gene-BBA_00090	BBA_00090	aryl-alcohol oxidase/vanillyl-alcohol oxidase	2.96	2.01	4.26	3.59	3.21	3.98	3.076667	3.593333
gene-BBA_00091	BBA_00091	15-hydroxyprostaglandin dehydrogenase (NAD(+))	0.59	0.73	0.63	0.1	0.15	0.21	0.65	0.153333
gene-BBA_00092	BBA_00092	hypothetical protein	61.76	60.85	63.53	40.89	30.48	49.84	62.046667	40.403333
gene-BBA_00093	BBA_00093	methyltransferase domain-containing protein	2.46	2.25	2.24	0.54	0.25	0.1	2.316667	0.296667
gene-BBA_00094	BBA_00094	major facilitator superfamily transporter	12.29	10.92	14.88	15.18	13.09	17.22	12.696667	15.163333
gene-BBA_00095	BBA_00095	oxidoreductase molybdopterin binding domain-containing protein	372.33	385.32	346.11	521.31	389.06	570.02	367.92	493.463333
gene-BBA_00096	BBA_00096	hypothetical protein	15.46	12.66	15.92	50.72	33.23	74.97	14.68	52.973333
gene-BBA_00097	BBA_00097	3-hydroxyacyl-CoA dehyrogenase	7.25	5.14	3.84	8.37	7.09	13.29	5.41	9.583333
gene-BBA_00098	BBA_00098	major facilitator superfamily transporter	0.07	0.1	0.11	0.25	0.05	0.06	0.093333	0.12
gene-BBA_00099	BBA_00099	hypothetical protein	0	0	0	4.06	0	4.43	0	2.83
gene-BBA_00100	BBA_00100	hypothetical protein	252.42	178.31	219.26	265.81	198.05	300.49	216.663333	254.783333
gene-BBA_00101	BBA_00101	carbohydrate esterase family 4	25.59	20.27	29.29	30.75	35.79	32.96	25.05	33.166667
gene-BBA_00102	BBA_00102	ATP-binding protein	0	0	0	0	0	0	0	0
gene-BBA_00103	BBA_00103	hypothetical protein	0	0	0	0	0	0	0	0
gene-BBA_00104	BBA_00104	hypothetical protein	763.69	761.67	697.98	800.22	810.84	829.18	741.113333	813.413333
gene-BBA_00105	BBA_00105	Putative Zn(II)2Cys6 transcription factor	13.58	13.08	11.16	5.95	8.15	6.15	12.606667	6.75
gene-BBA_00106	BBA_00106	WD domain-containing protein	24.55	21.41	37.36	13.46	16.07	18.69	27.773333	16.073333
gene-BBA_00107	BBA_00107	helicase associated domain-containing protein	9.37	7.46	12.14	9.08	8.43	9.94	9.656667	9.15
gene-BBA_00108	BBA_00108	hypothetical protein	19.3	20.58	20.15	22.92	23.69	24.08	20.01	23.563333
gene-BBA_00109	BBA_00109	RfeD protein	17.69	16.39	16.16	20.24	19.65	18.97	16.746667	19.62
gene-BBA_00110	BBA_00110	hypothetical protein	6.18	4.91	4.02	3.9	5.77	4.97	5.036667	4.88
gene-BBA_00111	BBA_00111	hypothetical protein	0	0	0	0	0	0	0	0
gene-BBA_00112	BBA_00112	hypothetical protein	9.63	8.77	2.87	10.65	9.48	10.43	7.09	10.186667
gene-BBA_00113	BBA_00113	hypothetical protein	0	0	0	0	0	0	0	0
gene-BBA_00114	BBA_00114	hypothetical protein	5.63	2.98	3.81	7.99	6.85	8.98	4.14	7.94
gene-BBA_00115	BBA_00115	peflin-like protein	101.43	91.42	107.72	21.47	18.87	34.07	100.19	24.803333
gene-BBA_00116	BBA_00116	ChaC-like protein	27.11	16.83	25.08	5.73	8.84	8.09	23.006667	7.553333
gene-BBA_00117	BBA_00117	RNA recognition domain-containing protein	106.29	91.08	97.82	124.91	151.65	148.93	98.396667	141.83
gene-BBA_00118	BBA_00118	HpcH/HpaI aldolase/citrate lyase family protein	14	9.5	14.47	35.45	21.84	43.69	12.656667	33.66
gene-BBA_00119	BBA_00119	golgi apparatus membrane protein TVP23	90.65	76.34	79.54	92.03	85.16	93.97	82.176667	90.386667
gene-BBA_00120	BBA_00120	hypothetical protein	33.61	25.99	37.63	12.7	13.35	20.62	32.41	15.556667
gene-BBA_00121	BBA_00121	transmembrane and coiled-coil domain-containing protein	17.93	19.15	20.59	25.14	25.43	24.9	19.223333	25.156667
gene-BBA_00122	BBA_00122	rRNA-processing protein UTP23	22.07	17.1	26.01	16.07	19.83	18.4	21.726667	18.1
gene-BBA_00123	BBA_00123	geranylgeranyl pyrophosphate synthetase	0.17	0.2	0.07	0.72	1.39	1.52	0.146667	1.21
gene-BBA_00124	BBA_00124	rRNA-processing protein UTP23	49.94	59.15	43.68	80.94	106.28	58.3	50.923333	81.84
gene-BBA_00125	BBA_00125	PH domain-containing protein	59.73	68.51	55.6	81.34	70.38	73.26	61.28	74.993333
gene-BBA_00126	BBA_00126	"protein kinase, putative"	22.57	19.43	23.99	20.28	17.1	23.26	21.996667	20.213333
gene-BBA_00127	BBA_00127	hypothetical protein	5.4	4.27	5.4	4.16	3.36	4.15	5.023333	3.89
gene-BBA_00128	BBA_00128	oligosaccharyl transferase STT3 subunit	164.71	150.01	174.69	121.33	101.87	121.76	163.136667	114.986667
gene-BBA_00129	BBA_00129	ATP synthase subunit E	217.32	242.78	215.97	456.49	503.66	403.33	225.356667	454.493333
gene-BBA_00130	BBA_00130	WD domain-containing protein	20.05	18.3	22.17	21.09	20.06	20.13	20.173333	20.426667
gene-BBA_00131	BBA_00131	RNA recognition domain-containing protein	61.72	61.06	65.07	80.12	75.76	87.97	62.616667	81.283333
gene-BBA_00132	BBA_00132	hypothetical protein	33.46	35.07	35.58	26.98	25.81	31.53	34.703333	28.106667
gene-BBA_00133	BBA_00133	DEAD/DEAH box helicase	21.01	19.1	26.96	21.87	19.37	23.5	22.356667	21.58
gene-BBA_00134	BBA_00134	mitochondrial ribosomal protein MRPL25	63.28	70.9	70.33	87.35	102.62	97.72	68.17	95.896667
gene-BBA_00135	BBA_00135	CSL zinc finger protein	28.19	27.43	26.82	26.24	33.21	28.73	27.48	29.393333
gene-BBA_00136	BBA_00136	TH14-3-3 protein	361.52	336.96	389.39	349.11	323	396.75	362.623333	356.286667
gene-BBA_00137	BBA_00137	"mitochondrial ATPase inhibitor, putative"	675.61	679.45	677.86	930.02	960.09	1022.04	677.64	970.716667
gene-BBA_00138	BBA_00138	nuclear pore glycoprotein p62	31.95	26.47	33.8	40.41	35.98	44.81	30.74	40.4
gene-BBA_00139	BBA_00139	hypothetical protein	35.21	29.55	33.04	27.63	26.22	33.93	32.6	29.26
gene-BBA_00140	BBA_00140	eukaryotic translation initiation factor 2 subunit gamma	66.99	62.17	86.47	55.24	46.55	71.63	71.876667	57.806667
gene-BBA_00141	BBA_00141	hypothetical protein	0.18	0.03	0.04	0	0.06	0.12	0.083333	0.06
gene-BBA_00142	BBA_00142	glycosyltransferase family 62	62.54	53.11	72.4	47.04	43.95	49.75	62.683333	46.913333
gene-BBA_00143	BBA_00143	ubiquitin-conjugating enzyme	14.19	11.51	15.15	12.45	12.98	15.41	13.616667	13.613333
gene-BBA_00144	BBA_00144	hypothetical protein	0.45	0.34	0.72	1.11	1.08	0.84	0.503333	1.01
gene-BBA_00145	BBA_00145	prenylated Rab acceptor 1	43.52	45.64	63.09	97.87	75.94	106.16	50.75	93.323333
gene-BBA_00146	BBA_00146	ELMO/CED-12 family protein	15.72	14.81	19.53	12.15	11.1	14.44	16.686667	12.563333
gene-BBA_00147	BBA_00147	cutinase-2 protein	1.92	1.92	0.92	3.12	2.45	2.8	1.586667	2.79
gene-BBA_00148	BBA_00148	homeobox domain-containing protein	6.94	5.21	8.3	9.87	7.07	12.48	6.816667	9.806667
gene-BBA_00149	BBA_00149	ATP-NAD kinase	46.34	38.49	42.2	14.48	13.31	13.78	42.343333	13.856667
gene-BBA_00150	BBA_00150	exosome complex subunit Rrp46	11.82	11.96	16.8	13.47	17.15	14.1	13.526667	14.906667
gene-BBA_00151	BBA_00151	phosphotyrosyl phosphate activator protein	20.32	15.02	21.99	12.33	10.58	17.96	19.11	13.623333
gene-BBA_00152	BBA_00152	hypothetical protein	6.76	5.66	7.04	38.01	24.53	42.16	6.486667	34.9
gene-BBA_00153	BBA_00153	carbohydrate kinase	78.14	95.55	68.87	94.56	65.35	111.73	80.853333	90.546667
gene-BBA_00154	BBA_00154	ATP synthase alpha chain	839.15	733.85	830.55	1373.66	1356.49	1272.57	801.183333	1334.24
gene-BBA_00155	BBA_00155	60S ribosomal protein L11	608.5	580.18	743.28	484.77	580.42	596.35	643.986667	553.846667
gene-BBA_00156	BBA_00156	LSM domain-containing protein	69.7	63.71	87.29	65.16	69.19	81.6	73.566667	71.983333
gene-BBA_00157	BBA_00157	DnaJ domain-containing protein	235.55	318.41	172.31	226.15	133.02	203.51	242.09	187.56
gene-BBA_00158	BBA_00158	thioredoxin-like protein	114.52	105.51	126.02	66.46	56.81	76.41	115.35	66.56
gene-BBA_00159	BBA_00159	hypothetical protein	16.09	14.18	17.72	10.19	8.12	12.91	15.996667	10.406667
gene-BBA_00160	BBA_00160	hypothetical protein	78.71	71.94	68.79	70.9	59.59	73.83	73.146667	68.106667
gene-BBA_00161	BBA_00161	RhoGAP domain-containing protein	6.55	4.81	6.79	5.96	5.61	8.09	6.05	6.553333
gene-BBA_00162	BBA_00162	C6 transcription factor	6.22	5.15	5.62	4.13	5.72	5.23	5.663333	5.026667
gene-BBA_00163	BBA_00163	hypothetical protein	54.89	61.21	47.35	114.22	158.21	168.11	54.483333	146.846667
gene-BBA_00164	BBA_00164	WLM domain-containing protein	5.85	3.45	6.55	5.27	5.11	5.09	5.283333	5.156667
gene-BBA_00165	BBA_00165	sulfate permease	46.21	27.29	49.13	3.52	3.08	6.68	40.876667	4.426667
gene-BBA_00166	BBA_00166	TBC domain-containing protein	42.49	36.51	45.12	23.11	22.02	25.87	41.373333	23.666667
gene-BBA_00167	BBA_00167	hemolysin-III family protein	86.78	89.06	86.94	132.83	149.34	114.84	87.593333	132.336667
gene-BBA_00168	BBA_00168	fms interacting protein	20.25	28.61	24.43	57.81	70.32	42.36	24.43	56.83
gene-BBA_00169	BBA_00169	FKBP-type peptidyl-prolyl cis-trans isomerase	105.92	92.77	130.44	91.26	107.47	107.29	109.71	102.006667
gene-BBA_00170	BBA_00170	serine/threonine-protein kinase cbk1	0.6	0.65	0.92	1.08	0.7	0.75	0.723333	0.843333
gene-BBA_00171	BBA_00171	"serine/threonine protein kinase, putative"	43.21	38.78	43.86	33.43	26.7	39.92	41.95	33.35
gene-BBA_00172	BBA_00172	glycoside hydrolase family 38	218.74	174.79	205.79	147.19	116.51	167.05	199.773333	143.583333
gene-BBA_00173	BBA_00173	MutS domain V	7.29	5.67	7.7	4.57	4.21	6.51	6.886667	5.096667
gene-BBA_00174	BBA_00174	60S acidic ribosomal protein P0	528.06	488.39	644.51	491.11	523.9	575.56	553.653333	530.19
gene-BBA_00175	BBA_00175	WD repeat domain-containing protein	7.73	6.83	8.69	4.98	4.89	8.02	7.75	5.963333
gene-BBA_00176	BBA_00176	DnaJ domain-containing protein	352.52	392.58	334.16	270.87	490.28	148.6	359.753333	303.25
gene-BBA_00177	BBA_00177	CAP-Gly domain-containing protein	20.96	21.44	26.69	18.94	20.51	24	23.03	21.15
gene-BBA_00178	BBA_00178	valyl-tRNA synthetase	69.16	65.39	77.4	50.18	45.27	60.03	70.65	51.826667
gene-BBA_00179	BBA_00179	hypothetical protein	22.46	25.89	24.91	19.78	15.44	19.11	24.42	18.11
gene-BBA_00180	BBA_00180	DEAD/DEAH box helicase	4.03	3.72	4.91	5.05	3.96	5.52	4.22	4.843333
gene-BBA_00181	BBA_00181	BAH/PHD-containing protein	17.9	15.87	18.69	13.27	12.86	13	17.486667	13.043333
gene-BBA_00182	BBA_00182	hypothetical protein	0	0	0	0	0	0.66	0	0.22
gene-BBA_00183	BBA_00183	major facilitator superfamily transporter	53.5	36.41	50.94	24.36	33.63	32.03	46.95	30.006667
gene-BBA_00184	BBA_00184	Nop14-like family protein	12.41	10.99	18.45	6.04	8.65	7.74	13.95	7.476667
gene-BBA_00185	BBA_00185	arsenite resistance protein Ars2	51.73	48.62	61.95	63.03	67.47	70.46	54.1	66.986667
gene-BBA_00186	BBA_00186	hypothetical protein	10.81	10.35	14.53	14.75	15.03	18.85	11.896667	16.21
gene-BBA_00187	BBA_00187	26S proteasome subunit P45 family protein	173.25	188.08	188.11	203.11	204.88	191.43	183.146667	199.806667
gene-BBA_00188	BBA_00188	T-complex protein 1	119.55	114.85	139.72	87.25	96.07	93.79	124.706667	92.37
gene-BBA_00189	BBA_00189	hypothetical protein	0	0	0	0	0	0	0	0
gene-BBA_00190	BBA_00190	COX17 protein	216.36	217.52	218.79	212.55	216.39	206.5	217.556667	211.813333
gene-BBA_00191	BBA_00191	hypothetical protein	0.15	0.06	0.64	0	0	0	0.283333	0
gene-BBA_00192	BBA_00192	Ribonuclease H1	7.66	7.24	8.44	1.34	1.91	4.44	7.78	2.563333
gene-BBA_00193	BBA_00193	galactose oxidase precursor	106.94	107.55	109.89	82.52	58.33	89.58	108.126667	76.81
gene-BBA_00194	BBA_00194	hypothetical protein	0	0	0	0.05	0.23	0	0	0.093333
gene-BBA_00195	BBA_00195	mannitol 1-phosphate dehydrogenase	12.6	12	13.17	9.86	12.31	14.28	12.59	12.15
gene-BBA_00196	BBA_00196	tat pathway signal sequence	0	0	0	0	0	0	0	0
gene-BBA_00197	BBA_00197	hypothetical protein	0	0	0	0	0	0	0	0
gene-BBA_00198	BBA_00198	cellobiose dehydrogenase	0	0	0	0	0	0	0	0
gene-BBA_00199	BBA_00199	hypothetical protein	0	0	0	0	0	0	0	0
gene-BBA_00200	BBA_00200	hypothetical protein	0	0	0	0	0	0	0	0
gene-BBA_00201	BBA_00201	hypothetical protein	0	0	0	0	0	0	0	0
gene-BBA_00202	BBA_00202	2OG-Fe(II) oxygenase family Oxidoreductase	0	0	0	0	0	0	0	0
gene-BBA_00203	BBA_00203	prolyl oligopeptidase family	5.73	5.25	6.23	1.73	1.85	2.9	5.736667	2.16
gene-BBA_00204	BBA_00204	cyclin domain-containing protein	60.32	54.76	68.16	76.5	54.29	85.84	61.08	72.21
gene-BBA_00205	BBA_00205	hypothetical protein	0.71	0.96	0.85	4.67	3.65	5.17	0.84	4.496667
gene-BBA_00206	BBA_00206	hypothetical protein	0	0	0	0	4.92	0	0	1.64
gene-BBA_00207	BBA_00207	cation diffusion facilitator family transporter	157.6	120.61	184.77	134.85	123.17	149.97	154.326667	135.996667
gene-BBA_00208	BBA_00208	40S ribosomal protein S2	635.96	615.88	774.11	645.35	769.76	748.75	675.316667	721.286667
gene-BBA_00209	BBA_00209	thiosulfate sulfurtransferase	113.72	97.26	113.33	106.79	79.24	117.51	108.103333	101.18
gene-BBA_00210	BBA_00210	anaphase-promoting complex subunit 11	15.38	13.32	19.63	16.49	6.44	22	16.11	14.976667
gene-BBA_00211	BBA_00211	"integral membrane protein, putative"	7.29	5.1	5.92	5.59	7.61	5.89	6.103333	6.363333
gene-BBA_00212	BBA_00212	proline dehydrogenase	121.39	60.95	121.93	152.59	204.09	146.44	101.423333	167.706667
gene-BBA_00213	BBA_00213	nitrilotriacetate monooxygenase component B	44.53	40.82	42.85	73.32	104.03	68.12	42.733333	81.823333
gene-BBA_00214	BBA_00214	fungal specific transcription factor	15.32	10.03	19.62	13.85	14.08	15.77	14.99	14.566667
gene-BBA_00215	BBA_00215	serine/threonine-protein kinase chk1	25.45	16.86	24.37	17.26	15.7	23.21	22.226667	18.723333
gene-BBA_00216	BBA_00216	ubiquitin-conjugating enzyme	57.01	42.84	59.89	62.81	49.08	85.21	53.246667	65.7
gene-BBA_00217	BBA_00217	60S ribosomal protein L31	718.34	849.09	910.88	845.99	1013.38	941.18	826.103333	933.516667
gene-BBA_00218	BBA_00218	regulator of G-protein signaling domain-containing protein	19.37	15.87	21.25	25.39	20.44	28.42	18.83	24.75
gene-BBA_00219	BBA_00219	PCI domain-containing protein	45.77	46.42	46.22	55.24	41.78	62.61	46.136667	53.21
gene-BBA_00220	BBA_00220	CLAP1-like protein	36.65	28.08	39.25	39.48	32.56	43.11	34.66	38.383333
gene-BBA_00221	BBA_00221	Cytochrome P450 CYP51F1	42.39	38.7	41.53	33.53	41.18	39.42	40.873333	38.043333
gene-BBA_00222	BBA_00222	hypothetical protein	32.07	25.09	29.58	29.31	23.45	33.05	28.913333	28.603333
gene-BBA_00223	BBA_00223	hypothetical protein	0	3.05	6.51	1.59	0	3.47	3.186667	1.686667
gene-BBA_00224	BBA_00224	fructosamine Kinase PKL/CAK/FruK	0.35	0	0	0.09	0.25	0.1	0.116667	0.146667
gene-BBA_00225	BBA_00225	hypothetical protein	2.98	1.54	1.6	3.3	1.95	3	2.04	2.75
gene-BBA_00226	BBA_00226	hypothetical protein	4.11	2.84	1.69	1.24	4.44	2.72	2.88	2.8
gene-BBA_00227	BBA_00227	cutinase negative acting protein	82.99	73.34	105.04	76.41	109.8	79.24	87.123333	88.483333
gene-BBA_00228	BBA_00228	NADH-ubiquinone oxidoreductase 12 kDa subunit	159.93	196.29	161.36	292.97	307.44	311.34	172.526667	303.916667
gene-BBA_00229	BBA_00229	mitochondrial ribosomal protein subunit L37	41.57	51.76	54.89	66.02	63.06	71.77	49.406667	66.95
gene-BBA_00230	BBA_00230	WASP-interacting protein-like protein vrp1p	67.75	78.24	57.83	49.3	42.41	40.98	67.94	44.23
gene-BBA_00231	BBA_00231	hypothetical protein	25.81	28.64	28.62	30.08	29.24	32.33	27.69	30.55
